j
0.0142502
-0.203344
0.0163406
-0.109998
0.0205567
-0.0433798
0.023291
-0.0695738
0.01964
-0.101212
0.0163672
-0.110674
0.0125944
-0.101706
0.0106846
-0.105825
0.00864809
-0.095762
0.0087344
-0.0849738
0.00490097
-0.0890515
0.00491725
-0.0635461
0.0033222
-0.062383
0.00234034
-0.0501638
0.000928114
-0.0365297
0.0117731
-0.0356079
-0.0094219
-0.0187903
0.00914134
-0.0439431
-0.00138327
-0.0637405
-0.0126475
-0.085012
-0.0236697
-0.0894986
-0.036806
-0.0957663
-0.0622264
-0.100668
-0.0579917
-0.102364
-0.0723215
-0.114194
-0.0774773
-0.10956
-0.0820576
-0.102404
-0.077187
-0.104475
-0.0922116
-0.111416
-0.0966424
-0.0967081
-0.0913258
-0.0801201
-0.107482
-0.0866106
-0.108412
-0.0659917
-0.0343882
-0.0287249
0.0270735
-0.02714
0.0091985
-0.0531644
-0.0194899
-0.0877872
-0.121331
-0.176011
-0.241884
-0.261308
-0.291749
-0.296295
-0.335363
-0.320391
-0.391865
-0.326809
-0.404044
-0.337232
-0.408067
-0.340275
-0.448145
-0.326299
-0.449998
-0.299808
-0.47822
-0.236001
-0.387214
-0.162485
-0.788909
0.535632
-0.951401
1.89224
-0.903418
3.07981
0.0161251
-0.0594873
0.01604
-0.166806
0.0127933
-0.144893
0.0174091
-0.110196
0.0145019
-0.0721724
0.0172897
-0.0379195
0.0294789
-0.00997083
-0.00193028
0.00695545
0.0291259
-0.00809163
0.018445
-0.0325455
0.00687443
-0.0453069
0.0108842
-0.0692784
0.0078301
-0.0602212
0.00564569
-0.0843429
-0.00180656
-0.0857578
-0.00426442
-0.0824832
-0.00629776
-0.0836899
-0.0116842
-0.0720304
-0.0428007
-0.0695724
-0.0397504
-0.0691183
-0.0513656
-0.0534846
-0.0518153
-0.0383359
-0.0152921
-0.0027687
-0.0205543
-0.0369925
-0.00104612
-0.0188487
-0.00593382
0.00880936
0.0055301
-0.0334547
0.00263851
-0.0430783
0.0131521
-0.0414127
-0.00581609
-0.0662378
-0.0453038
-0.0816182
-0.0593974
-0.0915036
-0.0805635
-0.119081
-0.115976
-0.13972
-0.134606
-0.160855
-0.139988
-0.192115
-0.155234
-0.210146
-0.321601
-0.224841
-0.316113
-0.175276
-0.324087
-0.140958
-0.119699
-0.0412639
-0.0157738
-0.0112067
0.0299425
-0.00541734
-0.0261722
-0.00750615
-0.0106929
-0.0994047
-0.21504
-0.25302
-0.418562
-0.243338
-0.462721
-0.143307
-0.624834
0.213996
-0.777061
1.2926
-0.790969
0.57935
0.0107741
-0.0566079
0.0199871
-0.130164
0.0173675
-0.129496
0.0158761
-0.0955481
0.00959478
-0.0483049
0.0056656
-0.0416869
0.0262514
-0.0323068
0.0305179
0.00861269
-0.0140071
0.0056321
0.00667717
-0.0407462
0.0303853
-0.0357647
0.0129071
-0.058184
0.00437032
-0.0695289
-0.00312397
-0.0511208
-0.00756177
-0.0769227
-0.0210795
-0.0713105
-0.0318821
-0.0758951
-0.0345512
-0.0510208
-0.00656342
-0.0595982
-0.00690107
-0.0399461
0.00294959
-0.0143553
-0.0114755
-0.00424166
0.00973684
-0.0270621
-0.023257
-0.0327466
-0.0309477
0.00707132
-0.00856425
-0.0142837
0.0191607
-0.0172781
0.024774
-0.00909911
-0.0126921
-0.0127986
-0.00297917
-0.0409454
-0.0375656
-0.103314
-0.102041
-0.141937
-0.14865
-0.163545
-0.171336
-0.173294
-0.200002
-0.161929
-0.189453
-0.143622
-0.192292
-0.1134
-0.134887
-0.0759361
-0.138142
-0.0717218
-0.0934689
-0.0689556
0.0259087
-0.0454931
0.017572
-0.0205282
0.0265206
-0.0280585
-0.0237637
-0.00898271
-0.0114877
0.0421259
-0.673395
0.238001
-0.801947
0.381582
-0.655389
0.536023
-0.54435
0.431308
-0.450044
-0.1473
-0.0388869
-0.110137
0.0236822
-0.112961
0.0188352
-0.111615
0.00980418
-0.04008
0.0164416
-0.0715903
0.013403
-0.0742461
0.00955164
-0.0459947
-0.0138578
-0.00663776
0.024844
-0.0123574
0.000815113
-0.0210052
0.0118921
-0.0408797
0.00754532
-0.0441655
0.00118861
-0.0542617
-0.00517951
-0.0594263
-0.0168585
-0.0565928
-0.0224676
-0.0280095
-0.0124204
-0.0223053
0.0107084
-0.0323513
0.000790061
-0.048698
-0.00076213
-0.0464383
-0.000872029
-0.0292046
-0.00425998
-0.0403573
-0.0119538
-0.0507751
-0.0111529
-0.0311039
0.0208078
-0.0392136
0.0232328
0.003793
0.002019
-0.0317135
-0.0023833
-0.023064
0.00107399
-0.0564402
-0.0349759
-0.0719453
-0.0888769
-0.120155
-0.138124
-0.116484
-0.171934
-0.114723
-0.208701
-0.0927549
-0.17792
-0.0700341
0.0236347
-0.0637057
0.00128922
-0.0657769
-0.0556679
-0.0444941
-0.0810714
-0.0674527
-0.0825552
-0.0578015
-0.125398
-0.0660806
-0.166836
-0.0541976
-0.054493
-0.0593489
-0.0167859
-0.0292011
-0.249573
0.127067
-0.627927
0.184125
-0.57868
0.220543
-0.610215
0.346957
-0.582464
0.307722
-0.25521
-0.140239
-0.433164
-0.32542
-0.387928
-0.242659
0.0235798
-0.118023
0.0210393
-0.0457061
0.0158122
-0.0166317
0.012403
-0.01684
0.0135105
-0.0539278
0.0136359
-0.0628846
0.00993591
-0.0548482
0.017845
-0.0746351
0.00493614
-0.0408188
0.0053589
-0.0423819
0.000657804
-0.048076
-0.0122516
-0.0413467
-0.018382
-0.0340381
-0.00908028
-0.0188338
-0.0221275
0.00862679
0.0247286
0.00965462
-0.0255779
-0.028341
-0.0194003
-0.00675364
0.00135693
-0.0350499
-0.00261856
-0.044417
-0.00961008
-0.0383588
-0.00409333
-0.0287622
-0.00339236
-0.0490651
-0.0148624
-0.0345614
-0.0105775
-0.05215
0.000880007
-0.0573962
-0.0474255
-0.0819613
-0.0823408
-0.0819107
-0.110501
-0.0944966
-0.135127
-0.103554
-0.178286
-0.057316
-0.114801
-0.0516682
-0.0066774
-0.0362699
-0.0151594
-0.0340686
-0.0227609
-0.0100182
0.014533
-0.00304915
